
--- initialization ---
iter: 00049, 	 precision: 0.9484,	 best_acc:0.9484
iter: 00099, 	 precision: 0.9723,	 best_acc:0.9723
iter: 00149, 	 precision: 0.9748,	 best_acc:0.9748
iter: 00199, 	 precision: 0.9774,	 best_acc:0.9774
iter: 00249, 	 precision: 0.9811,	 best_acc:0.9811
iter: 00299, 	 precision: 0.9799,	 best_acc:0.9811
iter: 00349, 	 precision: 0.9811,	 best_acc:0.9811
iter: 00399, 	 precision: 0.9811,	 best_acc:0.9811
iter: 00449, 	 precision: 0.9824,	 best_acc:0.9824
iter: 00499, 	 precision: 0.9824,	 best_acc:0.9824
iter: 00549, 	 precision: 0.9836,	 best_acc:0.9836
iter: 00599, 	 precision: 0.9836,	 best_acc:0.9836
iter: 00649, 	 precision: 0.9824,	 best_acc:0.9836
iter: 00699, 	 precision: 0.9824,	 best_acc:0.9836
iter: 00749, 	 precision: 0.9836,	 best_acc:0.9836
iter: 00799, 	 precision: 0.9824,	 best_acc:0.9836
iter: 00849, 	 precision: 0.9824,	 best_acc:0.9836
iter: 00899, 	 precision: 0.9836,	 best_acc:0.9836
iter: 00949, 	 precision: 0.9824,	 best_acc:0.9836
iter: 00999, 	 precision: 0.9836,	 best_acc:0.9836
iter: 01049, 	 precision: 0.9836,	 best_acc:0.9836
iter: 01099, 	 precision: 0.9824,	 best_acc:0.9836
iter: 01149, 	 precision: 0.9836,	 best_acc:0.9836
iter: 01199, 	 precision: 0.9836,	 best_acc:0.9836
iter: 01249, 	 precision: 0.9824,	 best_acc:0.9836
iter: 01299, 	 precision: 0.9824,	 best_acc:0.9836
iter: 01349, 	 precision: 0.9824,	 best_acc:0.9836
iter: 01399, 	 precision: 0.9824,	 best_acc:0.9836
iter: 01449, 	 precision: 0.9824,	 best_acc:0.9836
iter: 01499, 	 precision: 0.9824,	 best_acc:0.9836
iter: 01549, 	 precision: 0.9824,	 best_acc:0.9836
iter: 01599, 	 precision: 0.9811,	 best_acc:0.9836
iter: 01649, 	 precision: 0.9824,	 best_acc:0.9836
iter: 01699, 	 precision: 0.9824,	 best_acc:0.9836
iter: 01749, 	 precision: 0.9824,	 best_acc:0.9836
iter: 01799, 	 precision: 0.9824,	 best_acc:0.9836
iter: 01849, 	 precision: 0.9811,	 best_acc:0.9836
iter: 01899, 	 precision: 0.9811,	 best_acc:0.9836
iter: 01949, 	 precision: 0.9824,	 best_acc:0.9836
iter: 01999, 	 precision: 0.9824,	 best_acc:0.9836
iter: 02049, 	 precision: 0.9824,	 best_acc:0.9836
iter: 02099, 	 precision: 0.9824,	 best_acc:0.9836
iter: 02149, 	 precision: 0.9811,	 best_acc:0.9836
iter: 02199, 	 precision: 0.9799,	 best_acc:0.9836
iter: 02249, 	 precision: 0.9799,	 best_acc:0.9836
iter: 02299, 	 precision: 0.9799,	 best_acc:0.9836
iter: 02349, 	 precision: 0.9799,	 best_acc:0.9836
iter: 02399, 	 precision: 0.9799,	 best_acc:0.9836
iter: 02449, 	 precision: 0.9786,	 best_acc:0.9836
iter: 02499, 	 precision: 0.9799,	 best_acc:0.9836
iter: 02549, 	 precision: 0.9786,	 best_acc:0.9836
iter: 02599, 	 precision: 0.9774,	 best_acc:0.9836
iter: 02649, 	 precision: 0.9774,	 best_acc:0.9836
iter: 02699, 	 precision: 0.9774,	 best_acc:0.9836
iter: 02749, 	 precision: 0.9774,	 best_acc:0.9836
iter: 02799, 	 precision: 0.9748,	 best_acc:0.9836
iter: 02849, 	 precision: 0.9761,	 best_acc:0.9836
iter: 02899, 	 precision: 0.9761,	 best_acc:0.9836
iter: 02949, 	 precision: 0.9774,	 best_acc:0.9836
iter: 02999, 	 precision: 0.9774,	 best_acc:0.9836
iter: 03049, 	 precision: 0.9748,	 best_acc:0.9836
iter: 03099, 	 precision: 0.9761,	 best_acc:0.9836
iter: 03149, 	 precision: 0.9748,	 best_acc:0.9836
iter: 03199, 	 precision: 0.9761,	 best_acc:0.9836
iter: 03249, 	 precision: 0.9748,	 best_acc:0.9836
iter: 03299, 	 precision: 0.9761,	 best_acc:0.9836
iter: 03349, 	 precision: 0.9761,	 best_acc:0.9836
iter: 03399, 	 precision: 0.9748,	 best_acc:0.9836
iter: 03449, 	 precision: 0.9748,	 best_acc:0.9836
iter: 03499, 	 precision: 0.9748,	 best_acc:0.9836
iter: 03549, 	 precision: 0.9748,	 best_acc:0.9836
iter: 03599, 	 precision: 0.9748,	 best_acc:0.9836
iter: 03649, 	 precision: 0.9748,	 best_acc:0.9836
iter: 03699, 	 precision: 0.9748,	 best_acc:0.9836
iter: 03749, 	 precision: 0.9761,	 best_acc:0.9836
iter: 03799, 	 precision: 0.9748,	 best_acc:0.9836
iter: 03849, 	 precision: 0.9748,	 best_acc:0.9836
iter: 03899, 	 precision: 0.9748,	 best_acc:0.9836
iter: 03949, 	 precision: 0.9748,	 best_acc:0.9836
iter: 03999, 	 precision: 0.9748,	 best_acc:0.9836
